,,Channel Description:,G's,msec,In/S,Filter Hz,Max G's,Min G's
Ch 1,,356A24 - 11340 X                                            ,6.03000,1.50,2.13,500.00,6.03,-3.96
Ch 2,,356A24 - 11340 Y                                            ,91.20000,11.50,227.81,500.00,91.20,-11.74
Ch 3,,356A24 - 11340 Z                                            ,12.51000,6.40,19.37,500.00,12.51,-1.70
Time (msec),Channel 1 (G's),Channel 2 (G's),Channel 3 (G's),,,,,
17.60000,0.19023,-2.74347,-0.40581,,,,,
17.70000,0.18402,-2.80863,-0.37402,,,,,
17.80000,0.23983,-2.81944,-0.36066,,,,,
17.90000,0.23454,-2.87237,-0.42136,,,,,
18.00000,0.19583,-3.01048,-0.52291,,,,,
18.10000,0.13304,-3.33545,-0.65704,,,,,
18.20000,0.08482,-3.81833,-0.85569,,,,,
18.30000,-0.00025,-4.45616,-0.98820,,,,,
18.40000,-0.06633,-5.06930,-1.09077,,,,,
18.50000,-0.15571,-5.63692,-1.18361,,,,,
18.60000,-0.26164,-6.05621,-1.25622,,,,,
18.70000,-0.27315,-6.26874,-1.29619,,,,,
18.80000,-0.18138,-6.31348,-1.42207,,,,,
18.90000,0.00220,-5.86174,-1.49802,,,,,
19.00000,0.12553,-5.10530,-1.35403,,,,,
19.10000,0.33362,-3.88726,-1.18159,,,,,
19.20000,0.56517,-2.19791,-1.09844,,,,,
19.30000,0.82106,-0.88559,-0.82307,,,,,
19.40000,1.42851,-0.45792,-0.88292,,,,,
19.50000,1.99750,-0.73635,-1.27658,,,,,
19.60000,2.01077,-1.11168,-0.76554,,,,,
19.70000,1.78532,-0.92951,-0.95584,,,,,
19.80000,1.30974,-0.16515,-1.10791,,,,,
19.90000,1.09608,2.70106,-0.95096,,,,,
20.00000,0.64539,4.52208,-0.47864,,,,,
20.10000,0.29687,6.87793,0.50875,,,,,
20.20000,0.72266,9.53460,1.40078,,,,,
20.30000,1.05542,12.09623,1.94718,,,,,
20.40000,0.56152,13.98530,2.07710,,,,,
20.50000,0.34010,15.55986,2.37477,,,,,
20.60000,0.13360,16.81061,2.87267,,,,,
20.70000,0.47122,19.40755,3.06899,,,,,
20.80000,0.79222,22.40373,2.80273,,,,,
20.90000,0.59101,24.38164,2.38523,,,,,
21.00000,0.47034,25.00821,2.14654,,,,,
21.10000,-0.09359,25.65792,2.00519,,,,,
21.20000,0.14856,27.04765,1.57103,,,,,
21.30000,0.60050,30.10258,1.02551,,,,,
21.40000,1.16169,32.02970,0.71349,,,,,
21.50000,1.28416,33.69826,0.58474,,,,,
21.60000,1.21285,34.94996,0.44268,,,,,
21.70000,1.11852,37.21207,0.26179,,,,,
21.80000,0.48041,39.06261,0.23913,,,,,
21.90000,1.68353,39.30850,0.67887,,,,,
22.00000,1.36911,39.05318,0.29503,,,,,
22.10000,3.49656,41.23424,-0.20455,,,,,
22.20000,3.49824,46.39177,-0.31566,,,,,
22.30000,2.87423,50.42898,-0.25960,,,,,
22.40000,4.84878,51.01070,0.03442,,,,,
22.50000,5.07294,48.23320,0.14184,,,,,
22.60000,5.71821,49.90934,-0.41345,,,,,
22.70000,6.03078,54.19809,-1.01227,,,,,
22.80000,5.01287,58.65715,-1.03345,,,,,
22.90000,3.98951,61.65083,-0.92477,,,,,
23.00000,2.75361,64.01013,-0.66656,,,,,
23.10000,1.45016,68.41952,-0.68887,,,,,
23.20000,1.25319,74.34657,-0.43013,,,,,
23.30000,0.53233,78.56981,-0.06347,,,,,
23.40000,-0.21288,80.32542,0.50599,,,,,
23.50000,-0.89498,82.76675,0.73129,,,,,
23.60000,-1.44674,84.20911,0.87097,,,,,
23.70000,-1.59835,85.45173,1.03453,,,,,
23.80000,-1.48780,86.94249,1.35149,,,,,
23.90000,-1.50641,87.99328,2.10034,,,,,
24.00000,-0.90252,88.09921,2.81070,,,,,
24.10000,-1.22639,89.63187,3.25055,,,,,
24.20000,-0.68004,89.47693,3.80637,,,,,
24.30000,-0.41509,88.87169,4.23825,,,,,
24.40000,-0.46930,88.90551,4.68648,,,,,
24.50000,-0.72656,90.24194,5.29278,,,,,
24.60000,-1.09301,91.00894,5.99529,,,,,
24.70000,-1.49949,91.19556,6.59951,,,,,
24.80000,-1.94710,90.98063,7.02982,,,,,
24.90000,-2.44481,90.13939,7.44603,,,,,
25.00000,-3.02059,89.85313,7.84174,,,,,
25.10000,-3.35316,89.26222,8.40581,,,,,
25.20000,-3.24140,88.22850,8.94524,,,,,
25.30000,-3.01173,87.65695,9.29840,,,,,
25.40000,-2.79511,87.37631,9.69506,,,,,
25.50000,-2.94868,87.31694,10.26995,,,,,
25.60000,-3.01956,87.31620,10.77917,,,,,
25.70000,-2.99712,87.40873,11.14197,,,,,
25.80000,-3.05857,87.20575,11.46432,,,,,
25.90000,-3.03636,86.18536,11.74942,,,,,
26.00000,-3.13442,85.89307,11.90896,,,,,
26.10000,-3.24618,85.54288,12.09664,,,,,
26.20000,-3.39487,84.57289,12.29849,,,,,
26.30000,-3.34759,83.38612,12.40588,,,,,
26.40000,-3.34200,81.84186,12.47008,,,,,
26.50000,-3.38499,80.05351,12.51245,,,,,
26.60000,-3.42587,78.27413,12.42771,,,,,
26.70000,-3.44914,76.36905,12.28068,,,,,
26.80000,-3.43858,74.16416,12.13913,,,,,
26.90000,-3.34196,72.24638,11.94923,,,,,
27.00000,-3.25983,70.50834,11.73701,,,,,
27.10000,-3.35222,68.87260,11.58447,,,,,
27.20000,-3.49832,67.20949,11.46027,,,,,
27.30000,-3.60085,65.48152,11.29302,,,,,
27.40000,-3.61627,63.61048,11.10985,,,,,
27.50000,-3.63453,61.69144,10.87907,,,,,
27.60000,-3.62463,59.72773,10.61336,,,,,
27.70000,-3.65595,57.88197,10.35445,,,,,
27.80000,-3.67604,56.08291,10.05954,,,,,
27.90000,-3.62579,54.09810,9.67710,,,,,
28.00000,-3.58489,51.92199,9.23831,,,,,
28.10000,-3.50976,49.74588,8.81151,,,,,
28.20000,-3.48511,47.78452,8.43635,,,,,
28.30000,-3.55305,45.87447,8.08427,,,,,
28.40000,-3.63470,43.83046,7.74000,,,,,
28.50000,-3.75937,41.57554,7.34880,,,,,
28.60000,-3.83354,39.39087,6.93319,,,,,
28.70000,-3.90338,37.32685,6.50241,,,,,
28.80000,-3.95771,35.28790,6.09719,,,,,
28.90000,-3.93596,33.18016,5.66377,,,,,
29.00000,-3.88649,31.15927,5.17506,,,,,
29.10000,-3.86377,29.04787,4.67259,,,,,
29.20000,-3.81779,26.94142,4.25753,,,,,
29.30000,-3.71684,24.90204,3.82972,,,,,
29.40000,-3.58909,23.27669,3.40579,,,,,
29.50000,-3.34418,21.67492,2.96335,,,,,
29.60000,-3.15148,20.30496,2.51450,,,,,
29.70000,-3.00371,18.83849,2.14333,,,,,
29.80000,-2.92343,17.79176,1.85197,,,,,
29.90000,-2.82960,17.08158,1.55414,,,,,
30.00000,-2.61638,16.59982,1.32758,,,,,
30.10000,-2.42308,16.33720,1.14026,,,,,
30.20000,-2.26613,16.10742,0.95061,,,,,
30.30000,-2.12003,15.89623,0.76133,,,,,
30.40000,-1.98507,15.54711,0.60230,,,,,
30.50000,-1.90377,15.29300,0.49283,,,,,
30.60000,-1.86963,15.02424,0.40182,,,,,
30.70000,-1.81539,14.75471,0.28173,,,,,
30.80000,-1.76775,14.34864,0.10620,,,,,
30.90000,-1.66637,13.89082,-0.06009,,,,,
31.00000,-1.66314,13.30265,-0.20483,,,,,
31.10000,-1.66508,12.62033,-0.35456,,,,,
31.20000,-1.67281,11.76797,-0.51503,,,,,
31.30000,-1.55569,10.84782,-0.66278,,,,,
31.40000,-1.48011,9.94252,-0.80593,,,,,
31.50000,-1.35433,9.22735,-0.94944,,,,,
31.60000,-1.22861,8.60865,-1.09320,,,,,
31.70000,-1.12774,7.99935,-1.20302,,,,,
31.80000,-0.98232,7.27352,-1.28314,,,,,
31.90000,-1.07802,6.55459,-1.35873,,,,,
32.00000,-1.03743,5.77005,-1.45277,,,,,
32.10000,-1.03690,4.87333,-1.52504,,,,,
32.20000,-1.04626,3.93577,-1.57808,,,,,
32.30000,-0.96704,3.09039,-1.60100,,,,,
32.40000,-0.83088,2.41157,-1.64185,,,,,
32.50000,-0.70758,1.74235,-1.66874,,,,,
32.60000,-0.57253,1.08069,-1.69944,,,,,
32.70000,-0.44119,0.47579,-1.65817,,,,,
32.80000,-0.40249,0.11208,-1.56963,,,,,
32.90000,-0.37252,-0.04340,-1.46355,,,,,
33.00000,-0.35346,-0.11570,-1.36388,,,,,
33.10000,-0.37030,-0.07400,-1.27761,,,,,
33.20000,-0.40542,0.20880,-1.17320,,,,,
33.30000,-0.43791,0.56576,-1.00935,,,,,
33.40000,-0.52474,1.03399,-0.82294,,,,,
33.50000,-0.63941,1.62314,-0.62821,,,,,
33.60000,-0.47566,2.13838,-0.46226,,,,,
33.70000,-0.32861,2.55531,-0.33153,,,,,
33.80000,-0.13083,2.97856,-0.18782,,,,,
33.90000,-0.02374,3.45290,-0.05391,,,,,
34.00000,0.05654,3.80031,0.03576,,,,,
34.10000,0.10778,4.08121,0.12893,,,,,
34.20000,0.12541,4.21445,0.19781,,,,,
34.30000,0.17231,4.22696,0.23786,,,,,
34.40000,0.19978,4.11691,0.27499,,,,,
34.50000,0.24791,4.06767,0.30683,,,,,
34.60000,0.28104,3.94859,0.31838,,,,,
34.70000,0.35844,3.77055,0.31752,,,,,
34.80000,0.43418,3.48479,0.31553,,,,,
34.90000,0.43632,3.23119,0.30174,,,,,
35.00000,0.46876,2.96305,0.28275,,,,,
35.10000,0.44031,2.70692,0.23149,,,,,
35.20000,0.38395,2.21791,0.17589,,,,,
35.30000,0.28036,1.67329,0.11483,,,,,
35.40000,0.19182,1.00792,0.03120,,,,,
35.50000,0.12658,0.33157,-0.06526,,,,,
35.60000,0.06210,-0.34796,-0.14795,,,,,
35.70000,0.01372,-0.98452,-0.22051,,,,,
35.80000,-0.03025,-1.55671,-0.27744,,,,,
35.90000,-0.04881,-2.08452,-0.31723,,,,,
36.00000,-0.02346,-2.56428,-0.36345,,,,,
36.10000,0.00205,-2.94128,-0.38879,,,,,
36.20000,0.01893,-3.16015,-0.40856,,,,,
36.30000,-0.01414,-3.30145,-0.41475,,,,,
36.40000,-0.08412,-3.40484,-0.41847,,,,,
36.50000,-0.19564,-3.48973,-0.42045,,,,,
36.60000,-0.26957,-3.46342,-0.41842,,,,,
36.70000,-0.32151,-3.39069,-0.40017,,,,,
36.80000,-0.37164,-3.22275,-0.35764,,,,,
36.90000,-0.41581,-3.07273,-0.32003,,,,,
37.00000,-0.40263,-2.88684,-0.30308,,,,,
37.10000,-0.39615,-2.70575,-0.29075,,,,,
37.20000,-0.34434,-2.48459,-0.27653,,,,,
37.30000,-0.30661,-2.26297,-0.25129,,,,,
37.40000,-0.25248,-2.00236,-0.21957,,,,,
37.50000,-0.18838,-1.74579,-0.18455,,,,,
37.60000,-0.11885,-1.45618,-0.16536,,,,,
37.70000,-0.02211,-1.19912,-0.15685,,,,,
37.80000,0.06468,-0.99190,-0.14092,,,,,
37.90000,0.12805,-0.82007,-0.11675,,,,,
38.00000,0.18147,-0.66891,-0.09607,,,,,
38.10000,0.23962,-0.62392,-0.07084,,,,,
38.20000,0.30707,-0.68385,-0.07116,,,,,
38.30000,0.37304,-0.82808,-0.09415,,,,,
38.40000,0.45651,-1.02406,-0.13885,,,,,
38.50000,0.49800,-1.23903,-0.15711,,,,,
38.60000,0.54932,-1.46886,-0.18159,,,,,
38.70000,0.48927,-1.70660,-0.19860,,,,,
38.80000,0.54713,-1.87741,-0.18704,,,,,
38.90000,0.52197,-1.99417,-0.19768,,,,,
39.00000,0.47800,-2.09490,-0.21110,,,,,
39.10000,0.51486,-2.15125,-0.22472,,,,,
39.20000,0.48432,-2.24119,-0.24564,,,,,
39.30000,0.43176,-2.30901,-0.26856,,,,,
39.40000,0.37526,-2.32594,-0.26758,,,,,
39.50000,0.34077,-2.29378,-0.28469,,,,,
39.60000,0.33745,-2.25665,-0.27889,,,,,
39.70000,0.34867,-2.21404,-0.25526,,,,,
39.80000,0.33891,-2.10241,-0.21553,,,,,
39.90000,0.31536,-1.94428,-0.16224,,,,,
40.00000,0.29888,-1.73445,-0.12657,,,,,
40.10000,0.31281,-1.63146,-0.12979,,,,,
40.20000,0.34846,-1.71287,-0.15998,,,,,
40.30000,0.32126,-1.98125,-0.18798,,,,,
40.40000,0.24007,-2.23450,-0.18925,,,,,
40.50000,-0.01215,-2.35546,-0.20682,,,,,
40.60000,-0.15753,-2.14208,-0.30841,,,,,
40.70000,-0.13294,-1.40342,-0.34439,,,,,
40.80000,0.21658,-0.90842,-0.17270,,,,,
